date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:22	970/970	---M--	200	added ('OK')	text/plain	date:Fri,%2028%20Feb%202025%2023:59:02%20GMT	https://www.amazonebookpublishers.co/robots.txt		(from )
21:12:23	177046/177046	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:21%20GMT	https://www.amazonebookpublishers.co/	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/index.html	(from )
21:12:23	17502/17502	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:05%20GMT	https://www.amazonebookpublishers.co/css/animate.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/animate.css	(from https://www.amazonebookpublishers.co/)
21:12:24	232816/232816	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:05%20GMT	https://www.amazonebookpublishers.co/css/bootstrap.min.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/bootstrap.min.css	(from https://www.amazonebookpublishers.co/)
21:12:24	2351/2351	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Mar%202025%2000:00:20%20GMT	https://www.amazonebookpublishers.co/images/favicon.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/favicon.png	(from https://www.amazonebookpublishers.co/)
21:12:25	3352/3352	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:10%20GMT	https://www.amazonebookpublishers.co/css/owl.carousel.min.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/owl.carousel.min.css	(from https://www.amazonebookpublishers.co/)
21:12:25	1013/1013	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:10%20GMT	https://www.amazonebookpublishers.co/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/owl.theme.default.min.css	(from https://www.amazonebookpublishers.co/)
21:12:26	2677/2677	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:11%20GMT	https://www.amazonebookpublishers.co/css/style.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/style.css	(from https://www.amazonebookpublishers.co/)
21:12:26	1330/1330	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:59:03%20GMT	https://www.amazonebookpublishers.co/slick/slick.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/slick/slick.css	(from https://www.amazonebookpublishers.co/)
21:12:26	2377/2377	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:11%20GMT	https://www.amazonebookpublishers.co/css/slick-theme.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/slick-theme.css	(from https://www.amazonebookpublishers.co/)
21:12:27	16725/16725	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:11%20GMT	https://www.amazonebookpublishers.co/css/swiper.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/swiper.css	(from https://www.amazonebookpublishers.co/)
21:12:27	30362/30362	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:09%20GMT	https://www.amazonebookpublishers.co/css/jquery-ui.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/jquery-ui.css	(from https://www.amazonebookpublishers.co/)
21:12:28	123684/123684	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:08%20GMT	https://www.amazonebookpublishers.co/css/hover.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/hover.css	(from https://www.amazonebookpublishers.co/)
21:12:28	3675/3675	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:10%20GMT	https://www.amazonebookpublishers.co/css/popup.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/popup.css	(from https://www.amazonebookpublishers.co/)
21:12:28	10215/10215	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c88d625098ddb649cf216dba2e52435c%22	https://static.zdassets.com/ekr/snippet.js?key=9ecf93ed-e8e0-4865-8ae3-7b0daac9cce1	C:/My%20Web%20Sites/Ebook/static.zdassets.com/ekr/snippet8e94.js	(from https://www.amazonebookpublishers.co/)
21:12:28	103626/103626	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Feb%202025%2023:57:06%20GMT	https://www.amazonebookpublishers.co/css/fontawesome-6.5.0.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/fontawesome-6.5.0.css	(from https://www.amazonebookpublishers.co/)
21:12:29	11055/11055	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Mar%202025%2021:03:42%20GMT	https://www.amazonebookpublishers.co/images/head-logo.png	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/images/head-logo.png	(from https://www.amazonebookpublishers.co/)
21:12:29	377476/377476	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Mar%202025%2021:38:19%20GMT	https://www.amazonebookpublishers.co/css/custom.css	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/css/custom.css	(from https://www.amazonebookpublishers.co/)
21:12:29	229/229	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:29%20GMT	https://www.amazonebookpublishers.co/about-us.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/about-us.php	(from https://www.amazonebookpublishers.co/)
21:12:29	74884/74884	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:29%20GMT	https://www.amazonebookpublishers.co/about-us	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/about-us.html	(from https://www.amazonebookpublishers.co/)
21:12:30	229/229	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:30%20GMT	https://www.amazonebookpublishers.co/services.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/services.php	(from https://www.amazonebookpublishers.co/)
21:12:30	85408/85408	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202025%2016:12:30%20GMT	https://www.amazonebookpublishers.co/services	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/services.html	(from https://www.amazonebookpublishers.co/)
21:12:30	255/255	---M--	302	error ('Found')	text/html	date:Wed,%2018%20Jun%202025%2016:12:30%20GMT	https://www.amazonebookpublishers.co/professional-ghostwriting-services.php	C:/My%20Web%20Sites/Ebook/www.amazonebookpublishers.co/professional-ghostwriting-services.php	(from https://www.amazonebookpublishers.co/)
